outcome,unit_id,study_label,events,denominator,observed_proportion,exact_ci_low,exact_ci_high
infection,U_R125_ROSARIO_AR,SIBEN Rosario 2020,0,1,0.0,0.0,0.975
infection,U_NR044,Kumar 2017,1,11,0.09090909090909091,0.002298972213814267,0.4127799169883827
infection,U_NR058,Reddy 2018,0,1,0.0,0.0,0.975
cardiac_non_target,U_R006,Meberg 2008,32,313,0.10223642172523961,0.07098654174056807,0.14125644381386104
cardiac_non_target,U_R008,de-Wahl Granelli 2009,22,77,0.2857142857142857,0.18848943873535126,0.4000353724707615
cardiac_non_target,U_R009,Riede 2010,8,48,0.16666666666666666,0.07481086039959312,0.3022224135298802
cardiac_non_target,U_R010,Ewer 2011,14,177,0.07909604519774012,0.043916523374389865,0.12914912177660132
cardiac_non_target,U_R013,Turska-Kmiec 2012,11,24,0.4583333333333333,0.25553020199474624,0.671791924304822
cardiac_non_target,U_R018,Ozalkaya 2016,3,5,0.6,0.14663279963467313,0.9472550494736831
cardiac_non_target,U_R019,van Niekerk 2016,0,1,0.0,0.0,0.975
cardiac_non_target,U_R023,El Idrissi Slitine 2020,6,11,0.5454545454545454,0.23379359765934518,0.8325119059362929
cardiac_non_target,U_R025,Florez-Munoz 2021,0,3,0.0,0.0,0.7075982261787133
cardiac_non_target,U_R031,Abu Lehyah 2025,98,712,0.13764044943820225,0.11317574886016812,0.16515163784256276
cardiac_non_target,U_R036,Arlettaz 2006,12,19,0.631578947368421,0.38357792331440527,0.8371141278449004
cardiac_non_target,U_R049,Hamilcikan 2018,6,9,0.6666666666666666,0.29929505620854036,0.9251453685803082
cardiac_non_target,U_R066,Jones 2016,1,21,0.047619047619047616,0.0012048834483635127,0.23815990993682112
cardiac_non_target,U_R067,Klausner 2017,4,4,1.0,0.3976353643835253,1.0
cardiac_non_target,U_R071,Cubells 2018,3,5,0.6,0.14663279963467313,0.9472550494736831
cardiac_non_target,U_R089,Johnson 2014,0,1,0.0,0.0,0.975
cardiac_non_target,U_R093,Cawsey 2016,0,2,0.0,0.0,0.841886116991581
cardiac_non_target,U_R099,Tekleab 2019,13,56,0.23214285714285715,0.1297920327868661,0.3641842516508382
cardiac_non_target,U_R100,Cloete 2020,0,45,0.0,0.0,0.07870510040684303
cardiac_non_target,U_R101,Singh & Chen 2022,18,355,0.05070422535211268,0.03032382025016329,0.07895273785202211
cardiac_non_target,U_R108,Shah 2026,1,5,0.2,0.0050507633794680575,0.7164179361180895
cardiac_non_target,U_R109,Murni 2022,7,8,0.875,0.47349032912479344,0.9968402764687481
cardiac_non_target,U_R125_BARRANQUILLA_CO,SIBEN Barranquilla 2020,12,38,0.3157894736842105,0.1750253389011268,0.4865270544060217
cardiac_non_target,U_R125_ROSARIO_AR,SIBEN Rosario 2020,0,1,0.0,0.0,0.975
cardiac_non_target,U_NR044,Kumar 2017,8,11,0.7272727272727273,0.39025744042757876,0.9397822658270933
cardiac_non_target,U_NR058,Reddy 2018,1,1,1.0,0.025,1.0
