dimension,subgroup,endpoint,k,events,denominator,crude_ratio,pooled_probability,ci_low,ci_high,marginal_probability,tau,prediction_low,prediction_high,profile_status,hessian_condition_number
timing,<24h_predominant,strict,13,564,1733,0.3254472013848817,0.2841615827850444,0.04969996476655708,0.6773897428980798,0.3789691211219911,2.444012949967846,0.003288018238022281,0.9794947101916701,OK,4.875482524611021
timing,<24h_predominant,expanded,13,842,1733,0.48586266589728794,0.6257231402836168,0.4593814269690897,0.8038879384006327,0.6037309086411995,1.0346458635953633,0.1803476843587687,0.9270219212484739,OK,1.9050552516228207
timing,>=24h_predominant,strict,6,3,97,0.030927835051546393,0.003630769124586983,,,0.188176736408804,6.087249459800533,2.3988714126425367e-08,0.9981967063237884,FAILED: f(a) and f(b) must have different signs,43.30900394870756
timing,>=24h_predominant,expanded,6,61,97,0.6288659793814433,0.8076453529280491,0.5009530933508709,0.9919152489461858,0.7466905355448471,1.340920233350221,0.23264757906701433,0.9830931649619291,OK,5.092976534154473
timing,mixed_uncertain,strict,9,71,169,0.42011834319526625,0.26684477625574515,0.007027574801995205,0.9040936131236182,0.39522352218843604,3.3707712448653027,0.0004915761706812677,0.9963011268264154,OK,8.447899741622342
timing,mixed_uncertain,expanded,9,112,169,0.6627218934911243,0.7330136330618522,0.5218928001772775,0.9096046604403519,0.6998052528119494,0.9754236625772464,0.2886676622325303,0.9489134859892209,OK,1.8468138163604546
